siteowner, landfill_transferstation, rwmg, sitename, ogc_fid, localgovernmentarea, longitude, latitude, statusofsite, postcode, acceptsputrescible, siteaddress, town_suburb
"Western Waste Management P/L                                                                                                                                                                                                                                   ","Transfer station                                                                                                                                                                                                                                               ","Barwon                                                                                                                                                                                                                                                         ","Western Waste Management                                                                                                                                                                                                                                       ",5,"Colac-Otway (S)                                                                                                                                                                                                                                                ",143.612898716667,-38.3295492083333,"Existing                                                                                                                                                                                                                                                       ","3250                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","11 Marriner St                                                                                                                                                                                                                                                 ","Colac                                                                                                                                                                                                                                                          "
"Greater Geelong City Council                                                                                                                                                                                                                                   ","transfer station                                                                                                                                                                                                                                               ","Barwon                                                                                                                                                                                                                                                         ","Moolap Green Waste Transfer                                                                                                                                                                                                                                    ",10,"Greater Geelong (C)                                                                                                                                                                                                                                            ",144.426972,-38.164111,"Existing                                                                                                                                                                                                                                                       ","3221                                                                                                                                                                                                                                                           ",null,"50 Point Henry Road                                                                                                                                                                                                                                            ","Moolap                                                                                                                                                                                                                                                         "
"Macedon Ranges Shire Council                                                                                                                                                                                                                                   ","Transfer station                                                                                                                                                                                                                                               ","Calder                                                                                                                                                                                                                                                         ","Kyneton Transfer Station                                                                                                                                                                                                                                       ",20,"Macedon Ranges (S)                                                                                                                                                                                                                                             ",144.4577056,-37.22500833,"Existing                                                                                                                                                                                                                                                       ","3444                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","140 Redesdale Rd                                                                                                                                                                                                                                               ","Kyneton                                                                                                                                                                                                                                                        "
"Macedon Ranges Shire Council                                                                                                                                                                                                                                   ","Transfer station                                                                                                                                                                                                                                               ","Calder                                                                                                                                                                                                                                                         ","Woodend Transfer Station                                                                                                                                                                                                                                       ",22,"Macedon Ranges (S)                                                                                                                                                                                                                                             ",144.5411528,-37.36830278,"Existing                                                                                                                                                                                                                                                       ","3442                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","149 Quarry Rd                                                                                                                                                                                                                                                  ","Woodend                                                                                                                                                                                                                                                        "
"Bass Coast Shire Council                                                                                                                                                                                                                                       ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Rhyll Transfer Station                                                                                                                                                                                                                                         ",62,"Bass Coast (S)                                                                                                                                                                                                                                                 ",145.293857,-38.463692,"Existing                                                                                                                                                                                                                                                       ","3923                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","309 Cowes-Rhyll Rd                                                                                                                                                                                                                                             ","Rhyll                                                                                                                                                                                                                                                          "
"East Gippsland Shire Council                                                                                                                                                                                                                                   ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Metung Transfer Station & Resource Recovery                                                                                                                                                                                                                    ",86,"East Gippsland (S)                                                                                                                                                                                                                                             ",147.859831358333,-37.8512407,"Existing                                                                                                                                                                                                                                                       ","3904                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","130 Rosherville Rd                                                                                                                                                                                                                                             ","Metung                                                                                                                                                                                                                                                         "
"South Gippsland Shire Council                                                                                                                                                                                                                                  ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Venus Bay Transfer Station                                                                                                                                                                                                                                     ",99,"South Gippsland (S)                                                                                                                                                                                                                                            ",145.8099722,-38.6963,"Existing                                                                                                                                                                                                                                                       ","3956                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","3 Beach Rd (Cnr Canterbury Rd)                                                                                                                                                                                                                                 ","Venus Bay                                                                                                                                                                                                                                                      "
"Northern Grampians Shire Council                                                                                                                                                                                                                               ","Transfer station                                                                                                                                                                                                                                               ","Grampians                                                                                                                                                                                                                                                      ","Halls Gap                                                                                                                                                                                                                                                      ",128,"Northern Grampians (S)                                                                                                                                                                                                                                         ",142.5824194,-37.11163056,"Existing                                                                                                                                                                                                                                                       ","3381                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","4300 Ararat - Halls Gap Rd                                                                                                                                                                                                                                     ","Halls Gap                                                                                                                                                                                                                                                      "
"Greater Shepparton City Council                                                                                                                                                                                                                                ","Transfer station                                                                                                                                                                                                                                               ","Resource GV                                                                                                                                                                                                                                                    ","Shepparton Transfer Station                                                                                                                                                                                                                                    ",151,"Greater Shepparton (C)                                                                                                                                                                                                                                         ",145.388122733333,-36.34770635,"Existing                                                                                                                                                                                                                                                       ","3630                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","125 Wanganui Rd                                                                                                                                                                                                                                                ","Shepparton                                                                                                                                                                                                                                                     "
"Hepburn Shire Council                                                                                                                                                                                                                                          ","Transfer station                                                                                                                                                                                                                                               ","Highlands                                                                                                                                                                                                                                                      ","Creswick Transfer Station and Resale Centre                                                                                                                                                                                                                    ",179,"Hepburn (S)                                                                                                                                                                                                                                                    ",143.886385516667,-37.4156013583333,"Existing                                                                                                                                                                                                                                                       ","3363                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","32 Anne Street (Off Ring Road)                                                                                                                                                                                                                                 ","Creswick                                                                                                                                                                                                                                                       "
"Mornington Peninsula Shire Council                                                                                                                                                                                                                             ","Transfer station                                                                                                                                                                                                                                               ","Mornington Peninsula                                                                                                                                                                                                                                           ","Dromana Hopper                                                                                                                                                                                                                                                 ",204,"Mornington Peninsula (S)                                                                                                                                                                                                                                       ",144.9785444,-38.343175,"Existing                                                                                                                                                                                                                                                       ","3936                                                                                                                                                                                                                                                           ","yes                                                                                                                                                                                                                                                            "," 256 Boundary Rd                                                                                                                                                                                                                                               ","Dromana                                                                                                                                                                                                                                                        "
"Mornington Peninsula Shire Council                                                                                                                                                                                                                             ","Transfer station                                                                                                                                                                                                                                               ","Mornington Peninsula                                                                                                                                                                                                                                           ","Mornington Transfer Station                                                                                                                                                                                                                                    ",206,"Mornington Peninsula (S)                                                                                                                                                                                                                                       ",145.061953,-38.232763,"Existing                                                                                                                                                                                                                                                       ","3931                                                                                                                                                                                                                                                           ","yes                                                                                                                                                                                                                                                            ","134  Watt Rd (And Racecourse Rd)                                                                                                                                                                                                                               ","Mornington                                                                                                                                                                                                                                                     "
"Wangaratta Rural City Council                                                                                                                                                                                                                                  ","Transfer station                                                                                                                                                                                                                                               ","NevRwaste                                                                                                                                                                                                                                                      ","Markwood Transfer Station                                                                                                                                                                                                                                      ",220,"Wangaratta (RC)                                                                                                                                                                                                                                                ",146.4762167,-36.46787778,"Existing                                                                                                                                                                                                                                                       ","3678                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","145 Forest Lane                                                                                                                                                                                                                                                ","Markwood                                                                                                                                                                                                                                                       "
"Wangaratta Rural City Council                                                                                                                                                                                                                                  ","Transfer station                                                                                                                                                                                                                                               ","NevRwaste                                                                                                                                                                                                                                                      ","Whitfield Transfer Station                                                                                                                                                                                                                                     ",224,"Wangaratta (RC)                                                                                                                                                                                                                                                ",146.40969,-36.77246,"Existing                                                                                                                                                                                                                                                       ","3733                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             ","5865 Mansfield Whitfield Rd                                                                                                                                                                                                                                    ","Whitfield                                                                                                                                                                                                                                                      "
"Barton's Waste Collection                                                                                                                                                                                                                                      ","Transfer station                                                                                                                                                                                                                                               ","South Western                                                                                                                                                                                                                                                  ","Barton's Waste Transfer Station                                                                                                                                                                                                                                ",258,"Warrnambool (C)                                                                                                                                                                                                                                                ",142.45042,-38.367634,"Existing                                                                                                                                                                                                                                                       ","3280                                                                                                                                                                                                                                                           ","Yes                                                                                                                                                                                                                                                            ","Lot 20 Harrington Road                                                                                                                                                                                                                                         ","Warrnambool                                                                                                                                                                                                                                                    "
null,"Landfill                                                                                                                                                                                                                                                       ","Metro                                                                                                                                                                                                                                                          ","Sita - Lyndhurst - ES511                                                                                                                                                                                                                                       ",262,null,145.231,-38.0464,"open                                                                                                                                                                                                                                                           ","3975                                                                                                                                                                                                                                                           ","Yes                                                                                                                                                                                                                                                            ","890 Taylors Rd                                                                                                                                                                                                                                                 ","Lyndhurst                                                                                                                                                                                                                                                      "
null,"Landfill                                                                                                                                                                                                                                                       ","Metro                                                                                                                                                                                                                                                          ","Western Land Reclamation (ES26594)                                                                                                                                                                                                                             ",266,"Brimbank                                                                                                                                                                                                                                                       ",144.833,-37.8097,"open                                                                                                                                                                                                                                                           ","3012                                                                                                                                                                                                                                                           ","yes                                                                                                                                                                                                                                                            ","124 Jones Rd                                                                                                                                                                                                                                                   ","Brooklyn                                                                                                                                                                                                                                                       "
null,"Landfill                                                                                                                                                                                                                                                       ","Metro                                                                                                                                                                                                                                                          ","TPI - Brooklyn (EX 304)                                                                                                                                                                                                                                        ",271,"Brimbank                                                                                                                                                                                                                                                       ",144.837,-37.8044,"open                                                                                                                                                                                                                                                           ","3012                                                                                                                                                                                                                                                           ","no                                                                                                                                                                                                                                                             ","42 Market Rd                                                                                                                                                                                                                                                   ","Brooklyn                                                                                                                                                                                                                                                       "
